count,shrub_cov_20m,shrub_cov_30m,shrub_cov_40m,shrub_cov_50m
510,0.152168,0.0648,0.252928,0.122518
511,0.152135,0.1864,0.0425297,0.172058
512,0.152026,0.092,0.0414046,0.194236
513,0.151829,0.0976,0.0402794,0.129646
514,0.151773,0.1764,0.147841,0.0796024
515,0.151759,0.0952,0.0717829,0.0821226
516,0.151691,0.076,0.0915851,0.0654172
517,0.151657,0.0456,0.113187,0.0394952
518,0.151563,0.044,0.0668324,0.0456516
519,0.151458,0.0452,0.0972107,0.0593327
520,0.151322,0.07,0.0407295,0.0537163
521,0.151232,0.0952,0.0400544,-9999
522,0.1512,0.1556,0.0247527,0.214289
523,0.151187,0.1224,0.112962,0.136775
524,0.150966,0.092,0.203647,0.087811
525,0.15088,0.1472,0.130964,0.110457
526,0.150792,0.1736,0.17732,0.088207
527,0.150771,0.134,0.156167,0.0724378
528,0.150455,0.1464,0.0657072,0.117369
529,0.150376,0.0812,0.198022,0.17555
530,0.150168,0.1432,0.294332,0.147216
531,0.150114,0.1932,0.198697,0.107541
532,0.150046,0.2244,0.0780836,0.125974
533,0.150007,0.1256,0.0587315,0.12457
534,0.149973,0.0772,0.144691,0.111033
535,0.149955,0.0352,0.122639,0.158449
536,0.149294,0.0636,0.0576063,0.195784
537,0.149199,0.1228,0.0747082,0.14898
538,0.149128,0.0412,0.105987,0.104732
539,0.149093,0.086,0.161118,0.145092
540,0.149078,0.2328,0.164043,0.146532
541,0.149008,0.1136,0.100136,0.10394
542,0.14897,0.132,0.0614318,0.105452
543,0.148791,0.112,0.0472552,0.0902952
544,0.14875,0.0988,0.156617,0.0959117
545,0.148695,0.07,0.146491,0.0974238
546,0.148652,0.0532,0.0807839,0.0833467
547,0.148637,0.1408,0.106212,0.074778
548,0.148484,0.1416,0.14019,0.062969
549,0.148457,0.0696,0.054906,0.0989359
550,0.148406,0.0928,0.0621068,0.136487
551,0.14834,0.2228,0.0873096,0.131014
